tree_id,split,selected_method,unstable_gate,total_det,B1_ratio,B2_ratio,B3_ratio,B4_ratio,B4_yrange,d_ac_bvg_B3,d_ac_cag_B2,B1_pred,B2_pred,B3_pred,B4_pred,B1_gt,B2_gt,B3_gt,B4_gt
DAMIMAS_A21B_0607,train,adaptive_corrected,False,25,2.6667,2.6667,3.5,2.0,0.0352,0,0,4,5,4,1,4,4,4,1
DAMIMAS_A21B_0032,train,adaptive_corrected,False,22,4.0,2.0,3.3333,3.0,0.069,1,0,2,1,6,4,2,1,5,3
DAMIMAS_A21B_0275,train,adaptive_corrected,False,26,2.5,3.0,3.25,2.0,0.0149,1,1,3,4,8,1,3,4,8,2
DAMIMAS_A21B_0608,train,adaptive_corrected,False,22,0.0,3.0,3.5,2.5,0.0636,0,0,0,2,8,3,0,2,8,3
DAMIMAS_A21B_0033,train,adaptive_corrected,False,18,0.0,0.0,4.0,2.0,0.0425,0,0,0,0,9,1,0,0,8,2
DAMIMAS_A21B_0276,train,adaptive_corrected,False,10,3.0,2.0,2.5,0.0,0.0,0,0,1,1,3,0,1,1,3,0
DAMIMAS_A21B_0609,train,adaptive_corrected,False,19,2.0,2.0,2.6667,2.5,0.0917,0,0,1,2,4,3,1,2,5,3
DAMIMAS_A21B_0034,train,adaptive_corrected,False,16,0.0,2.0,3.0,2.6667,0.0827,0,0,0,1,3,5,0,1,3,6
DAMIMAS_A21B_0277,train,adaptive_corrected,False,17,3.0,3.0,2.6667,0.0,0.0,0,-1,1,3,4,0,1,3,5,0
DAMIMAS_A21B_0610,train,adaptive_corrected,False,20,0.0,2.75,3.0,3.0,0.0598,0,-1,0,6,3,2,0,6,4,2
DAMIMAS_A21B_0035,train,class_aware_vis,True,13,0.0,2.25,2.0,0.0,0.0,0,0,0,6,2,0,0,7,2,0
DAMIMAS_A21B_0278,train,adaptive_corrected,False,20,2.5,3.5,2.6667,0.0,0.0,1,0,3,4,5,0,2,4,6,0
DAMIMAS_A21B_0611,train,class_aware_vis,True,20,0.0,3.6667,3.0,0.0,0.0,0,0,0,7,6,0,0,6,5,0
DAMIMAS_A21B_0036,train,adaptive_corrected,False,15,0.0,2.0,3.25,0.0,0.0,0,0,0,1,7,0,0,1,7,0
DAMIMAS_A21B_0279,train,adaptive_corrected,False,25,0.0,2.6667,3.0,2.0,0.083,1,0,0,5,9,1,0,5,9,1
DAMIMAS_A21B_0612,train,adaptive_corrected,False,14,0.0,1.0,3.25,0.0,0.0,0,0,0,1,7,0,0,1,8,0
DAMIMAS_A21B_0037,train,adaptive_corrected,False,21,0.0,2.5,3.6667,2.5,0.0534,0,0,0,3,6,3,0,3,5,3
DAMIMAS_A21B_0280,train,adaptive_corrected,False,20,4.0,2.0,3.0,3.0,0.2176,0,0,2,2,3,4,2,3,4,4
DAMIMAS_A21B_0613,train,adaptive_corrected,False,10,0.0,2.0,3.0,2.0,0.0097,0,0,0,1,3,1,0,1,4,1
DAMIMAS_A21B_0038,train,adaptive_corrected,False,21,4.0,0.0,3.0,2.6667,0.0844,0,0,2,0,5,5,2,0,5,5
DAMIMAS_A21B_0281,train,adaptive_corrected,True,23,0.0,0.0,3.0,2.6667,0.1142,1,0,0,0,9,5,0,0,10,5
DAMIMAS_A21B_0614,train,adaptive_corrected,False,25,3.0,3.3333,2.3333,2.5,0.1387,0,0,2,6,4,3,2,5,5,4
DAMIMAS_A21B_0039,train,adaptive_corrected,False,15,3.0,3.0,1.5,0.0,0.0,0,0,1,5,2,0,2,5,2,0
DAMIMAS_A21B_0282,train,adaptive_corrected,False,18,4.0,0.0,3.3333,0.0,0.0,1,0,4,0,6,0,4,0,6,0
DAMIMAS_A21B_0615,train,adaptive_corrected,False,22,2.5,3.3333,3.0,1.0,0.0,0,0,3,6,3,1,3,5,3,1
DAMIMAS_A21B_0040,train,adaptive_corrected,False,21,4.0,3.0,2.6667,3.0,0.1004,1,0,2,2,5,4,2,2,4,3
DAMIMAS_A21B_0283,train,adaptive_corrected,False,20,2.0,1.0,3.25,2.0,0.0242,0,0,2,1,7,1,2,1,7,1
DAMIMAS_A21B_0616,train,adaptive_corrected,False,22,4.0,4.0,3.0,2.5,0.0286,0,0,2,2,5,3,2,2,5,4
DAMIMAS_A21B_0041,train,adaptive_corrected,False,23,3.0,2.5,2.5,2.5,0.107,1,0,2,3,6,3,2,3,6,3
DAMIMAS_A21B_0617,train,adaptive_corrected,False,21,2.5,2.5,3.0,2.0,0.1169,0,0,3,3,5,1,3,3,5,1
DAMIMAS_A21B_0042,train,adaptive_corrected,False,15,2.5,2.0,3.0,2.0,0.009,0,0,2,1,3,1,2,1,4,1
DAMIMAS_A21B_0618,train,adaptive_corrected,False,17,3.0,3.0,4.0,1.0,0.0,0,-1,3,3,2,1,3,4,2,1
DAMIMAS_A21B_0043,train,best_visibility_grid,True,23,1.5,2.0,3.5,0.0,0.0,1,0,2,3,7,0,2,3,6,0
